species	reference_annot	taxon_id	scientific_name	strain	study_title	study_abstract	genotype	library_layout.y	library_construction_protocol	library_name	library_selection	library_strategy	instrument_model	insert_size	submission_lab	submission_center	updated_date	center_name	sample_accession	bio_project	bio_sample	run_accession
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032431	PRJDB4821	SAMD00051490	DRR060261
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032432	PRJDB4821	SAMD00051491	DRR060262
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032433	PRJDB4821	SAMD00051492	DRR060263
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032434	PRJDB4821	SAMD00051493	DRR060264
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032435	PRJDB4821	SAMD00051494	DRR060265
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032436	PRJDB4821	SAMD00051495	DRR060266
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032437	PRJDB4821	SAMD00051496	DRR060267
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032438	PRJDB4821	SAMD00051497	DRR060268
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -		unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338634	PRJEB4484	SAMEA2170321	ERR327534
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -		unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338635	PRJEB4484	SAMEA2170322	ERR327535
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -		unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338636	PRJEB4484	SAMEA2170323	ERR327536
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -		unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338637	PRJEB4484	SAMEA2170324	ERR327537
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -		unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338638	PRJEB4484	SAMEA2170325	ERR327538
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -	five-prime ends	unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338640	PRJEB4484	SAMEA2170327	ERR327539
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -	five-prime ends	unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338641	PRJEB4484	SAMEA2170328	ERR327540
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -	five-prime ends	unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338642	PRJEB4484	SAMEA2170329	ERR327541
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -	five-prime ends	unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338643	PRJEB4484	SAMEA2170330	ERR327542
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	227321	Aspergillus nidulans FGSC A4		The transcriptome of Aspergillus nidulans under different growth conditions.  Also, 5'-specific sequencing of the A. nidulans transcriptome.	Background The filamentous fungus Aspergillus nidulans has been a tractable model organism for cell biology and genetics for over 60 years.  It is among a large number of Aspergilli whose genomes have been sequenced since 2005, including medically and industrially important species.  In order to advance our knowledge of its biology and increase its utility as a genetic model by improving gene annotation we sequenced the transcriptome of A. nidulans with a focus on 5Ã¢â‚¬â„¢ end analysis.  Results Strand-specific whole transcriptome sequencing showed that 80-95% of annotated genes appear to be expressed across the conditions tested.  We estimate that the total gene number should be increased by approximately 1000, to 11,800.  8.3% of genes had multiple alternative transcripts, but alternative splicing by exon-skipping was very rare.  75% of annotated genes showed some level of antisense transcription and for one gene, meaB, we demonstrated the antisense transcript has a regulatory role. Specific sequencing of the 5Ã¢â‚¬â„¢ ends of transcripts was used for genome wide mapping of transcription start sites, allowing us to interrogate over 7000 promoters and 5Ã¢â‚¬â„¢ untranslated regions.  Conclusions Our data has revealed the complexity of the A. nidulans transcriptome and contributed to improved genome annotation.  The data can be viewed on the AspGD genome browser.		SINGLE -	five-prime ends	unspecified	RT-PCR	RNA-Seq	AB SOLiD 4 System	0	Centre for Genomic Research,  University of Liverpool	UOL_CGR	2018-11-24	UOL_CGR	ERS338644	PRJEB4484	SAMEA2170331	ERR327543
