geneId	regionId	region	SM_IDs	nClusters
AN6002	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN6001	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN6000	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5999	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5998	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5997	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5996	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5995	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5994	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5993	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5992	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5991	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN5990	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN6770	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6771	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6772	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6773	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6774	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6775	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6776	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6777	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6778	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6779	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6780	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6781	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6782	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6783	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6784	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN6785	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22	1
AN11527	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22;cluster_52	2
AN6786	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22;cluster_52	2
AN6787	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22;cluster_52	2
AN6788	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22;cluster_52	2
AN6789	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22;cluster_52	2
AN6790	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22;cluster_52	2
AN11907	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN6791	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_22;cluster_52	2
AN6792	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN6793	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN6794	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN6795	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN6796	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN6797	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN6798	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN11908	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN10846	region_04	ChrI_A_nidulans_FGSC_A4:3110369-3212351	cluster_52	1
AN7872	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN11582	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7873	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7874	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7875	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7876	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7877	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7878	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7879	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7880	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7881	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN11028	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN11031	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7883	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7884	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7885	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7886	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7887	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7888	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN12002	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7889	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7890	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7891	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7892	region_05	ChrII_A_nidulans_FGSC_A4:74741-159631	cluster_56	1
AN7895	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN7896	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN7897	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN11584	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN7898	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN7899	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN7900	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN7901	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN7902	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN7903	region_06	ChrII_A_nidulans_FGSC_A4:167227-194381	cluster_06	1
AN7904	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7905	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7906	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7907	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7908	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7909	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7911	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7912	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7913	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7914	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7915	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7916	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7917	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7918	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7919	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7920	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7921	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7922	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7923	region_07	ChrII_A_nidulans_FGSC_A4:195597-244174	cluster_07	1
AN7996	region_08	ChrII_A_nidulans_FGSC_A4:438214-456361	cluster_23	1
AN7997	region_08	ChrII_A_nidulans_FGSC_A4:438214-456361	cluster_23	1
AN7998	region_08	ChrII_A_nidulans_FGSC_A4:438214-456361	cluster_23	1
AN7999	region_08	ChrII_A_nidulans_FGSC_A4:438214-456361	cluster_23	1
AN12402	region_08	ChrII_A_nidulans_FGSC_A4:438214-456361	cluster_23	1
AN9467	region_08	ChrII_A_nidulans_FGSC_A4:438214-456361	cluster_23	1
AN12431	region_08	ChrII_A_nidulans_FGSC_A4:438214-456361	cluster_23	1
AN8098	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8099	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8100	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8101	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8102	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8103	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8104	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8105	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8106	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN11037	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN11049	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8108	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN11941	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN11942	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8110	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8111	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8112	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8113	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8114	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8115	region_09	ChrII_A_nidulans_FGSC_A4:748237-795369	cluster_57	1
AN8133	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8134	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8135	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8136	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8137	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8138	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN12440	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8139	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8140	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8141	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8142	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8143	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8144	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8145	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8146	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN8147	region_10	ChrII_A_nidulans_FGSC_A4:856328-901960	cluster_58	1
AN11597	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8200	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8201	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8202	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8203	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8204	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8205	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8206	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8207	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8208	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8209	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN12403	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN12404	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8211	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8212	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8213	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN8214	region_11	ChrII_A_nidulans_FGSC_A4:1113723-1167657	cluster_59	1
AN11063	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN11069	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN8246	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN8247	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN12201	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN8248	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN8249	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN8250	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN8251	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN11064	region_12	ChrII_A_nidulans_FGSC_A4:1260783-1283194	cluster_60	1
AN12204	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN8256	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN12205	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN8257	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN8258	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN8259	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN11065	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN11071	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN12206	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN11067	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN8261	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN8262	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN8263	region_13	ChrII_A_nidulans_FGSC_A4:1293341-1320227	cluster_31	1
AN3917	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN3916	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN3915	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN3914	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN3913	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN10486	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN10491	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN3911	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN3910	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN3909	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN10489	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN10485	region_14	ChrII_A_nidulans_FGSC_A4:2652963-2697286	cluster_30	1
AN10448	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3616	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3615	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3614	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3613	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3612	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3611	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN10430	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN10447	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3609	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3608	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3607	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3606	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3605	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN10446	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN10429	region_15	ChrII_A_nidulans_FGSC_A4:3583527-3640024	cluster_29;cluster_45	2
AN3506	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3505	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3504	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3503	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3502	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3501	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3500	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3499	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3498	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3497	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3496	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3495	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3494	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3493	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3492	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3491	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3490	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3489	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3488	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3487	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3486	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN12191	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3485	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN3484	region_16	ChrII_A_nidulans_FGSC_A4:3952383-4027826	cluster_09	1
AN4837	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4836	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4835	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4834	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4833	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4832	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4831	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4830	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4829	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN10599	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN10600	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4827	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4826	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4825	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4824	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4823	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN9445	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN9446	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN11232	region_17	ChrIII_A_nidulans_FGSC_A4:833847-881650	cluster_46	1
AN4649	region_18	ChrIII_A_nidulans_FGSC_A4:1412695-1459428	cluster_10	1
AN4648	region_18	ChrIII_A_nidulans_FGSC_A4:1412695-1459428	cluster_10	1
AN4647	region_18	ChrIII_A_nidulans_FGSC_A4:1412695-1459428	cluster_10	1
AN4646	region_18	ChrIII_A_nidulans_FGSC_A4:1412695-1459428	cluster_10	1
AN4645	region_18	ChrIII_A_nidulans_FGSC_A4:1412695-1459428	cluster_10	1
AN4644	region_18	ChrIII_A_nidulans_FGSC_A4:1412695-1459428	cluster_10	1
AN4643	region_18	ChrIII_A_nidulans_FGSC_A4:1412695-1459428	cluster_10	1
AN4642	region_18	ChrIII_A_nidulans_FGSC_A4:1412695-1459428	cluster_10	1
